id,question,answer,citations,status,notes
15,What instruction governs equipment maintenance and calibration?,"o ensure sustainment and periodic maintenance. Contingency medical TMDE will use DAF Precision Measurement Equipment Lab 
(PMEL) services, when feasible. General purpose test equipment (oscilloscopes, digital multi -meters, frequency 
counters, etc.) will be calibrated IAW AFMAN 21 -113, Air Force Metrology and Calibration 
(AFMETCAL) Management  and TO 33K -1-100-2, Equipment Calibration Requirements List , 
for general purpose test equipment. Calibration determination requests, AFTO Form 45, Request for Calibration 
Responsibility Determination , will be submitted through AFMEDCOM/A4/10  Clinical 
Engineering & Sustainment (Equipment) Branch ( AFMEDCOM/A4/10E) for general purpose 
test equipment not listed in TO 33K -1-100-2. TMDE that PMEL cannot calibrate or certify will be accomplished by the manufacturer 
or other entities to manufacturer specifications using standards traceable to the National 
Institute of Standards and Technology ( NIST). Equipment Turn -Ins.",DAFI41-230 — dafi41-230 — section.o ensure sustainment and periodic maintenance. (T-1) — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
16,Who ensures inventory accuracy in DMLSS?,"(T-1) The report will include documentation of inventory 
training, post -count research actions, discrepancy causes and effects, project code and 
instance, total units counted, inventory accuracy, dollar value of overages, dollar value of 
shortages, and lessons learned. The AMO will certify the IAVs. The IAAA will approve the IAVs and return them to the SRA for filing. The inventory accuracy standard is 99% IAW DLM 4000.25, Volume 2, 
Table C6.T1, General Supplies Record Accuracy Goals Stratification Sub -Populations 
and Associated Goals and Tolerance Levels. The SRA will create a corrective action 
plan when assemblage accuracy falls below 99% and upload into the MICT system 
within 30 days of completion. Accomplishing post inventory actions, the SRA will file and maintain the 
following inventory documents:  
8.12.3.14.1.",DAFI41-230 — dafi41-230 — section.. (T-1) The report will include documentation of inventory — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
17,What AFI governs property custodianship?,"l records IAW AFI 33 -
322 and the AF RDS located in the Air Force Information Management System. (T-0) Note:  
If there are guidance conflicts, utilize the longer retention period. Use Table 1 ., Medical Logistics Quality Control/Source Document Cross Reference, 
for the required supporting documents and retention periods by transaction type. Materiel and Property Documents Processing. The SRA will follow all guidance and 
procedures outlined in DHA -PI 6430.08, Medical Logistics Order Management , Enclosure 3, 
Paragraphs  1.b(1) -1.b(7). The SRA will follow all guidance and procedures outlined in DHA -PI 6430.08, 
Enclosure 3, Paragraphs c.1.",DAFI41-230 — dafi41-230 — section.l records IAW AFI 33 - — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
18,What policy governs storage of pharmaceuticals?,"of the material authorized for storage in the container 
and stored in a vault or safe of equivalent classification IAW DoD Manual 5200.01, Volume 
3, DoD Information Security Program: Protection of Classified Information . Controlled medical items will not be commingled with other items. Establish written procedures, approved by the Unit Commander, to address emergency 
access to the vault (e.g., Force Protection Conditions, natural disasters, mass casualties, etc.). Commercial Credit Returns. The SRA will not process commercial credit returns for pharmaceuticals with greater 
than 120 days shelf life. Pharmaceuticals being turned in to reverse distribution with greater than 120 
days shelf life will be maintained in SG95 until they are within 120 days of expiration and 
then processed with commercial credit returns.",DAFI41-230 — dafi41-230 — section.of the material authorized for storage in the container — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
19,What instruction governs emergency resupply procedures?,"uthorizing or ordering departure. If DoS has not issued a cable, only 
after consulting with the Secretary of State  

Intro    Chapter 1    Chapter 2    Chapter 3    Chapter 4    Chapter 5    Chapter 6    Appendix A    Appendix B  
 
 
02/01/2026  6-3 
  Situation or Assignment  Authority  
5 Local emergency displacements  a. Secretary of Defense. Secretary concerned. Head of the Component (or his or her 
designee). Commander of the installation or the Coast 
Guard District Commander.","JTR — JTR — section.uthorizing or ordering departure.  If DoS has not issued a cable, only — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF",OK,Extracted from top-ranked chunks.
20,What guidance governs medical logistics support during humanitarian missions?,"operational regional and theater MEDLOG teams interfacing with intermediate 
support activities for the documentation, codes and records, system administration, inventory 
management, procurement, controlled medical item management, equipment maintenance and 
management, medical materiel qua lity assurance, DAF WRM, and other Contingency Medical 
Materiel ( CMM). IAW this publication, TO 13C7 -34-2-1-WA-1, Operations and Manual - Operational 
Medical Logistics , provides medical logistics officers, medical supply and medical equipment 
maintenance personnel operating procedures for tasks that require standardization between 
operational MEDLOG and utilization of the AFWCF/MDD, supporting DAF, ANG and AFR. This instruction and TO 13C7 -34-2-1-WA-1 provides the readiness currency requirements for 
DAF personnel to execute the operational capability outlined in DAF Tactics, Techniques and 
Procedures (TTP) 3 -42.8, Expeditionary Medical Logistics ( EML) System , and Air Force 
Doctrine Publication (AFDP) 4 -02, Health Services . Roles and Responsibilities. All personnel are responsible for safeguarding AF property and may be held 
f medical  services,  including  curtailment  of 
routine services, and patient redistribution  
For inpatient  medical  treatment  facilities,  casualty  management  
procedures for specific work centers, to include casualty flow within the 
facility and transportation of  casualties to the medical treatment facility.","DAFI41-230 — dafi41-230 — section.operational regional and theater MEDLOG teams interfacing with intermediate — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf; DAFI41-106 — dafi41-106 — section.medical  services,  including  curtailment  of — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-106.pdf",OK,Extracted from top-ranked chunks.
21,What DHA instruction governs access to care standards?,"r 2019, Section 711, Transition of 
Administration by Defense Health Agency of Military Medical Treatment Facilities , 15 May, 
2018  
DHA -AI 5136.03, Delegation of Authority and Assignment of Responsibility for Administration 
and Management of Direct Care, 3 November 2022  
DoDI 1241.01, Reserve Component (RC) Line of Duty Determination for Medical and Dental 
Treatments and Incapacitation Pay Entitlements, 19 April 2016  
DoDI 1332.18, Disability Evaluation System, 5 August 2014  
DoDI 1341.02, Defense Enrollment Eligibility Reporting System ( DEERS) Program and 
Procedures, 8 August 2016  
DoDI 1342.24, Transitional Compensation (TC) for Abused Dependents, 23 September 2019  
DoDI 5400.11, DoD Privacy and Civil Liberties Programs, 29 January 2019  
DoDI 6000.11, Patient Movement (PM), 22 June 2018  
DoDI 6025.18, Health Insurance Portability and Accountability Act ( HIPAA) Privacy Rule 
Compliance in DoD Health Care Programs, 13 March 2019  
DoDI 6025.23, Health Care Eligibility Under the Secretarial Designee (SECDES) Program and 
Related Special Authorities, 16 September 2011  
DoDI 6490.03, Deployment Health, 11 August 2006  
DoD 7750.08 -M, DoD Forms Management Program Proc <td>This memorandum directs the continued implementation of the Military Health System organizational reform required by law, extending the authority, direction and control of all military hospitals and clinics not currently under Defense Health Agency authority to the DHA, to include military hospitals and clinics in overseas areas.</td>

                                    <td>02/24/2022</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2022/02/03/DOD-and-Department-of-Veterans-Affairs-Health-Care-Resource-Sharing-Program"" target=&quot;_blank&quot;>DoDI 6010.23</a>

                                            </td>

                                                                            <td>DOD and Department of Veterans Affairs Health Care Resource Sharing Program</td> remains in sync with DHA’s administration of healthcare delivery. Chapter 1 —OVERVIEW, ROLES AND RESPONSIBILITIES   5 
Section 1A —Patient Support Overview   5 
1.1. Patient Support Overview. ................................","DAFMAN41-210 — dafman41-210 — section.r 2019, Section 711, Transition of — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf; DHA Policies Directory — DHA Policies Directory — section.<td>This memorandum directs the continued implementation of the Military Health System organizational reform required by — https://www.health.mil/Reference-Center/Policies; DAFMAN41-210 — dafman41-210 — section.remains in sync with DHA’s administration of healthcare delivery. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf",OK,Extracted from top-ranked chunks.
22,What are the required appointment access timelines under DHA policy?,"r 2019, Section 711, Transition of 
Administration by Defense Health Agency of Military Medical Treatment Facilities , 15 May, 
2018  
DHA -AI 5136.03, Delegation of Authority and Assignment of Responsibility for Administration 
and Management of Direct Care, 3 November 2022  
DoDI 1241.01, Reserve Component (RC) Line of Duty Determination for Medical and Dental 
Treatments and Incapacitation Pay Entitlements, 19 April 2016  
DoDI 1332.18, Disability Evaluation System, 5 August 2014  
DoDI 1341.02, Defense Enrollment Eligibility Reporting System ( DEERS) Program and 
Procedures, 8 August 2016  
DoDI 1342.24, Transitional Compensation (TC) for Abused Dependents, 23 September 2019  
DoDI 5400.11, DoD Privacy and Civil Liberties Programs, 29 January 2019  
DoDI 6000.11, Patient Movement (PM), 22 June 2018  
DoDI 6025.18, Health Insurance Portability and Accountability Act ( HIPAA) Privacy Rule 
Compliance in DoD Health Care Programs, 13 March 2019  
DoDI 6025.23, Health Care Eligibility Under the Secretarial Designee (SECDES) Program and 
Related Special Authorities, 16 September 2011  
DoDI 6490.03, Deployment Health, 11 August 2006  
DoD 7750.08 -M, DoD Forms Management Program Proc <td>This policy requires first call resolution for all patients requesting appointments at all Air Force medical treatment facilities. Under this policy, beneficiaries will not be asked to call back for an appointment.</td>

                                    <td>06/05/2015</td>

                                        <td>Air Force</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2015/05/14/Interagency-Complex-Care-Coordination"" target=&quot;_blank&quot;>DODI 6010.24</a>

                                            </td>

                                                                            <td>Interagency Complex Care Coordination</td>

                                    <td>This instruction establishes policy and assigns responsibility for complex care coordination between the Department of Defense and Department of Veterans Affairs.</td> rify the status of 
the patient and sponsor. The DHA, MTF law consultant or base Legal Office will review 
applications and include the review as part of the Secretarial Designee request. Typically, in emergency (life, limb, eyesight, or relief of undue suffering) cases that 
present at an MTF , healthcare personnel can provide necessary treatment to stabilize the 
individual without the need to pursue a Secretarial Designation.","DAFMAN41-210 — dafman41-210 — section.r 2019, Section 711, Transition of — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf; DHA Policies Directory — DHA Policies Directory — section.<td>This policy requires first call resolution for all patients requesting appointments at all Air Force medical treatme — https://www.health.mil/Reference-Center/Policies; DAFMAN41-210 — dafman41-210 — section.rify the status of — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf",OK,Extracted from top-ranked chunks.
23,What policy governs empanelment of beneficiaries?,"k"" href=""/Reference-Center/Policies/2003/11/10/Policy-Guidance-for-the-Health-Enrollment-Assessment-Review-Program"" >03-024</a>

                                            </td>

                                                                            <td>Policy Guidance for the Health Enrollment Assessment Review Program</td>

                                    <td>Policy Guidance for the Health Enrollment Assessment Review Program</td>

                                    <td>11/10/2003</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2003/11/06/Medical-Surveillance-Information-Management-Strategy-for-Force-Health-Protection"" >03-022</a>

                                            </td>

                                                                            <td>Medical Surveillance Information Management Strate <td>Policy for Simplifying Enrollment for Active Duty Families</td>

                                    <td>Policy for Simplifying Enrollment for Active Duty Families</td>

                                    <td>12/19/1997</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/1997/12/15/Policy-for-Supplemental-Care-Payments-for-CCEP-Participants"" >98-029</a>

                                            </td>

                                                                            <td>Policy for Supplemental Care Payments for CCEP Participants</td>

                                    <td>Policy for Supplemental Care Payments for CCEP Participants</td>

                                    <td>12/15/1997</td>

                                        <td>Health Affairs</t nter/Policies/1997/12/31/Implementation-of-Supplemental-Care-Program-Policy-Changes"" >98-006</a>

                                            </td>

                                                                            <td>Implementation of Supplemental Care Program Policy Changes</td>

                                    <td>Implementation of Supplemental Care Program Policy Changes</td>

                                    <td>12/31/1997</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/1997/12/19/Policy-for-Simplifying-Enrollment-for-Active-Duty-Families"" >98-028</a>

                                            </td>

                                                                            <td>Policy for Simplifying Enrollment for Active Duty Families</td>

                                    <td>Policy for Simpl <a class=""itemLink"" href=""/Reference-Center/Policies/2011/08/12/Health-Affairs-Policy-for-Referral-Management-of-Disability-Compensation-and-Pension-Examinations-in"" >HA Policy 11-012</a>

                                            </td>

                                                                            <td>Health Affairs Policy for Referral Management of Disability Compensation and Pension Examinations in the Integrated Disability Evaluation System</td>

                                    <td>Health Affairs Policy for Referral Management of Disability Compensation and Pension Examinations in the Integrated Disability Evaluation System</td>

                                    <td>08/12/2011</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2011/07/28/Addition-of- >

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2005/04/11/Policy-Clarification-for-Enrollment-of-Reserve-Component-Members-and-their-Eligible-Family-Members-u"" ></a>

                                            </td>

                                                                            <td>Policy Clarification for Enrollment of Reserve Component Members and their Eligible Family Members under Section 703 of the National Defense Authorization Act for Fiscal Year 2004</td>

                                    <td>Policy Clarification for Enrollment of Reserve Component Members and their Eligible Family Members under Section 703 of the National Defense Authorization Act for Fiscal Year 2004</td>

                                    <td>04/11/2005</td>

                                        <td>Health Affairs</td> enter/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a>

                                            </td>

                                                                            <td>Credentialing and Authorization of Providers on Operational Platforms</td>

                                    <td>For humanitarian assistance involving the delivery of medical care and under the authority outlined in Reference (a), this policy specifies the responsibilities and documentation required for providers to be credentialed

and authorized to participate in foreign humanitarian missions.","DHA Policies Directory — DHA Policies Directory — section.k"" href=""/Reference-Center/Policies/2003/11/10/Policy-Guidance-for-the-Health-Enrollment-Assessment-Review-Program"" >03- — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>Policy for Simplifying Enrollment for Active Duty Families</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.nter/Policies/1997/12/31/Implementation-of-Supplemental-Care-Program-Policy-Changes"" >98-006</a> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
24,Who is responsible for monitoring referral performance metrics?,"<td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/05/05/Policy-Guidance-for-Referral-Management"" ></a>

                                            </td>

                                                                            <td>Policy Guidance for Referral Management</td>

                                    <td>Policy Guidance for Referral Management</td>

                                    <td>05/05/2004</td>

                                        <td>TMA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/05/01/Government-Accountability-Office-GAO-Report-GA04410"" target=&quot;_blank&quot;>GA-04-410</a>

                                            </td>

                                                                            <td> <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/29/Policy-Guidance-for-Referral-Management"" ></a>

                                            </td>

                                                                            <td>Policy Guidance for Referral Management</td>

                                    <td>Policy Guidance for Referral Management</td>

                                    <td>07/29/2004</td>

                                        <td>TMA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/13/Policy-on-Reporting-Joint-Commission ted Products, Diagnosis Related Groups, and Relative Case Mix Index. AFI41 -102  2 5 JUNE 2020  29 
8.4.3. Outpatient workload (B Accounts). Capture the workload where the care is provided 
(example: Provider assigned to Internal Me dicine and sees a patient in Family Practice, the 
visit falls under the family practice FCC).","DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>Health Affairs</td> — https://www.health.mil/Reference-Center/Policies; AFI41-102 — afi41-102 — section.ted Products, Diagnosis Related Groups, and Relative Case Mix Index. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-102.pdf",OK,Extracted from top-ranked chunks.
25,What instruction governs third-party collections?,"enter/Policies/2008/06/13/Policy-for-Billing-and-Collections-for-Third-Party-Collection-Program-&#160;-Medical-Services-Accounts--a"" >08-007</a>

                                            </td>

                                                                            <td>Policy for Billing and Collections for Third Party Collection Program,&#160; Medical Services Accounts, and Medical Affirmative Claims in Military Treatment Facility</td>

                                    <td>This revised policy replaces Health Affairs Policy 96-056, Policy for Third Party Billing and Collections in military treatment facilities. It also replaces the May 11, 1998, memorandum titled Designation of the Third Party Outpatient Collection System as the Interim Standard System for Automated Support of the Third Party Collection Program (TPCP). Both documents are no longer current, given the present status of billing and collection protocols. </td>

                                    <td>06/13/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope="" <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2010/06/25/OMB-Memorandum-M-10-23-Guidance-for-Agency-Use-of-Third-Party-Websites-and-Applications"" target=&quot;_blank&quot;>OMB Memorandum M-10-23, Guidance for Agency Use of Third-Party Websites and Applications</a>

                                            </td>

                                                                            <td>OMB Memorandum M-10-23, Guidance for Agency Use of Third-Party Websites and Applications</td>

                                    <td>This Memorandum requires Federal agencies to take specific steps to protect individual privacy whenever they use third-party websites and applications to engage with the public.</td>

                                    <td>06/25/2010</td>

                                        <td>OMB</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th> <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2014/05/19/Information-Collection-and-Reporting"" target=&quot;_blank&quot;>DODI 8910.01</a>

                                            </td>

                                                                            <td>Information Collection and Reporting</td>

                                    <td>This instruction establishes and reissues policies and assigns responsibilities for the collection of information and the control of the paperwork burden consistent with chapter 35 of Title 44, United States Code.</td>

                                    <td>05/19/2014</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Federal Regulation</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2014/05/01/Health-Insurance-Portabili","DHA Policies Directory — DHA Policies Directory — section.enter/Policies/2008/06/13/Policy-for-Billing-and-Collections-for-Third-Party-Collection-Program-&#160;-Medical-Services- — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<th scope=""row"">Memorandum</th> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
26,What guidance governs network adequacy?,"ude visual inspection of the unit, physical integrity of 
power cords and strain reliefs, resistance test, leakage current, lockout tagout procedures and 
other tests as defined in NFPA 99. Ensure equipment proposed for purchase is compatible with existing utility systems 
and electrical safety standards. Report defects in electrical power systems to Facility Management or equivalent at 
deployed sites, who is responsible for the repair of ground fault detection systems and line 
isolation monitors. DEGOES  
Lieutenant General, USAF, MC, FS  
Surgeon General  


58 DAFI41 -230  24 JULY 2025  
Attachment 1  
GLOSSARY OF REFERENCES AND SUPPORTING INFORMATION  
References  
Public Law 104 -191, Health Insurance Portability and Accountability Act of 1996 , 21 August 
1996  
Title 21 CFR, Chapter II, Part 1301, Registration of Manufacturers, Distributors, and Dispensers 
of Controlled Substances , 1 April 2022  
Title 21 CFR, Chapter II, Part 1301.72, Physical Security Controls for Non -Practitioners; 
Narcotic Treatment Programs and Compounders for Narcotic Treatment programs; Mobile 
Narcotic Treatment Programs; Storage Areas , 1 Apri he 
MAJCOM, CCMD, or if appropriate, this DAFI (e.g., Air Force Office of Special Investigations), 
with guidance specific to the NAF, DRU, or FOA. Wing Commanders or Equivalent.","DAFI41-230 — dafi41-230 — section.ude visual inspection of the unit, physical integrity of — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf; DAFI36-2903 — dafi36-2903 — section.he — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi36-2903.pdf",OK,Extracted from top-ranked chunks.
27,How are appointment no-show rates tracked and managed?,"l travelers in the US and non- foreign OCONUS areas use commercial lodgings that 
comply with the U.S. F ire Administration guidelines. Booking Commercial Lodging 
 
1. A traveler is responsible for any charges in excess of the per diem rate. A traveler is responsible for canceling a room reservation within the established time 
frame to avoid any no- show charges and must obtain a cancellation number to reverse a no -show charge. If a traveler cannot book commercial lodging using the TMC (including the electronic 
travel system) then the traveler must book directly with the commercial lodging facility (including the hotel’s online W eb site).",JTR — JTR — section.l travelers in the US and non- foreign OCONUS areas use commercial lodgings that — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\JTR.PDF,OK,Extracted from top-ranked chunks.
28,What policy governs referral authorization thresholds?,"<td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/05/05/Policy-Guidance-for-Referral-Management"" ></a>

                                            </td>

                                                                            <td>Policy Guidance for Referral Management</td>

                                    <td>Policy Guidance for Referral Management</td>

                                    <td>05/05/2004</td>

                                        <td>TMA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/05/01/Government-Accountability-Office-GAO-Report-GA04410"" target=&quot;_blank&quot;>GA-04-410</a>

                                            </td>

                                                                            <td> <a class=""itemLink"" href=""/Reference-Center/Policies/2011/08/12/Health-Affairs-Policy-for-Referral-Management-of-Disability-Compensation-and-Pension-Examinations-in"" >HA Policy 11-012</a>

                                            </td>

                                                                            <td>Health Affairs Policy for Referral Management of Disability Compensation and Pension Examinations in the Integrated Disability Evaluation System</td>

                                    <td>Health Affairs Policy for Referral Management of Disability Compensation and Pension Examinations in the Integrated Disability Evaluation System</td>

                                    <td>08/12/2011</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2011/07/28/Addition-of- <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/29/Policy-Guidance-for-Referral-Management"" ></a>

                                            </td>

                                                                            <td>Policy Guidance for Referral Management</td>

                                    <td>Policy Guidance for Referral Management</td>

                                    <td>07/29/2004</td>

                                        <td>TMA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2004/07/13/Policy-on-Reporting-Joint-Commission <td>DOD Policy for Delivery of Medical Care During Pandemics and Other Public Health Emergencies of National Significance</td>

                                    <td>Public health emergencies of national significance such as an influenza pandemic will resuIt in surge requirements that overwhelm the response capacity, capability, and resources of both medical facilities and health care providers. Under these conditions, alternate standards of care will be adopted, and difficult decisions regarding the allocation of limited resources will be required. </td>

                                    <td>09/01/2008</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2008/08/26/Credentialing---Authorization-of-Providers-on-Operational-Platforms"" >08-009</a>

                                            </td>","DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<a class=""itemLink"" href=""/Reference-Center/Policies/2011/08/12/Health-Affairs-Policy-for-Referral-Management-of-Disabil — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td>Health Affairs</td> — https://www.health.mil/Reference-Center/Policies",OK,Extracted from top-ranked chunks.
29,What instruction governs patient administration procedures?,"BY ORDER OF THE  
SECRETARY OF THE AIR FORCE  
 DEPARTMENT OF THE AIR FORCE 
MANUAL 41 -210 
12 JANUARY 2026  
Health Services  
PATIENT ADMINISTRATION 
SUPPORT  
COMPLIANCE WITH THIS PUBLICATION IS MANDATORY  
 
ACCESSIBILITY:  This publication is available for downloading or ordering on the e -
Publishing website at www.e -Publishing.af.mil . RELEASABILITY:  There are no releasability restrictions on this publication. OPR:  AF/SG3S  Certified by: AF/SGMED 
Supersedes:  DAFMAN41 -210, 30 January 2025  Pages: 39 
 
 
This publication identifies and defines the Department of the Air Force (DAF) requirements, 
policies, procedures, activities, and minimum expectations necessary to ensure a successful Patient 
Administration mission within Air Force medical units (medical g roup ( MDG ) or medical 
squadron (MDS)). It outlines how to manage Patient Administration functions applicable to DAF 
medical personnel, including the administrative activities required to best support DAF Active 
Duty (AD) patients. The organizational alignment of th ese functions may vary among medical 
units. This publication applies to all civilian employees and uniformed members of the Regular 
Air Fo",DAFMAN41-210 — dafman41-210 — section.BY ORDER OF THE — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf,OK,Extracted from top-ranked chunks.
30,Who determines catchment area assignments?,"Sets used in the allocation and purification process (refer to Table 8.1  
and Table 8.2  in this instruction for more information on Data Set usage). AFMRA MEPRS 
will validate all facilities’ ASD annually. The ASNs are published on the Master MEPRS Table that is released annually by the 
Air Force MEPRS Program Manager. During budget preparation for new FY, the MTF RA, Manpower Manager, MPM, and 
Logistics Office coordinates work center RC/CCs and FCCs or Functional Account Codes 
(FACs). The addition or del etion of work centers or FCCs are coordinated with each affected 
area to ensure proper allocation of data. This occurs following the close out of the third 
quarter.",AFI41-102 — afi41-102 — section.Sets used in the allocation and purification process (refer to Table 8.1 — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\afi41-102.pdf,OK,Extracted from top-ranked chunks.
31,What guidance governs Prime enrollment capacity?,"morandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2010/08/20/TRICARE-Enrollment-Policy-for-Activating-Reserve-Component-Members-and-Their-Families"" >HA Policy 10-007</a>

                                            </td>

                                                                            <td>TRICARE Enrollment Policy for Activating Reserve Component Members and Their Families</td>

                                    <td>This memorandum clarifies the TRICARE Prime enrollment policy for activating Reserve Component (RC) members and their families. This policy memorandum cancels and supersedes Health Affairs (HA) Policy Memorandum 07-002. </td>

                                    <td>08/20/2010</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td> Like-care TRICARE  Prime  patients  are/are  not being  deferred  to the network. Indicate  if other  
TRICARE  Prime  beneficiaries  with the same  diagnosis  are being deferred to the network. Right  of First Refusal  status:  Indicate  if the MTF  accepts/does  not accept  Right of First 
Refusals.",DHA Policies Directory — DHA Policies Directory — section.morandum</th> — https://www.health.mil/Reference-Center/Policies; DAFMAN41-210 — dafman41-210 — section.39 — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafman41-210.pdf,OK,Extracted from top-ranked chunks.
